#taskLabel	taskNamespace	taskType	nCores	memMb	priority	isForceLocal	dependencies	cwd	command
locusGraphStats		command	1	4096	0	0	mergeLocusGraph		/home/eblake/Documents/manta/SV_finder_manta/manta/libexec/SummarizeSVLoci --global --graph-file /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svLocusGraph.bin --output-file /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/results/stats/svLocusGraphStats.tsv
makeHyGenDir		command	1	2048	0	1	checkLocusGraph		mkdir -p /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svHyGen
generateCandidateSV_0000		command	8	1536	0	0	makeHyGenDir		/home/eblake/Documents/manta/SV_finder_manta/manta/libexec/GenerateSVCandidates --threads 8 --align-stats /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/alignmentStats.xml --graph-file /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svLocusGraph.bin --bin-index 0 --bin-count 1 --max-edge-count 10 --min-candidate-sv-size 8 --min-candidate-spanning-count 3 --min-scored-sv-size 50 --ref /home/eblake/Documents/manta/SV_finder_manta/Data/reference_genome/Homo_sapiens_assembly19.COST16011_region.fa --candidate-output-file /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svHyGen/candidateSV.0000.vcf --diploid-output-file /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svHyGen/diploidSV.0000.vcf --min-qual-score 10 --min-pass-qual-score 20 --min-pass-gt-score 15 --enable-remote-read-retrieval --chrom-depth /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/chromDepth.txt --edge-runtime-log /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svHyGen/edgeRuntimeLog.0000.txt --edge-stats-log /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/results/stats/svCandidateGenerationStats.xml --edge-stats-report /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/results/stats/svCandidateGenerationStats.tsv --align-file /home/eblake/Documents/manta/SV_finder_manta/Data/Data_to_analysis/G15512.HCC1954.1.COST16011_region.bam
fixVcfHeader_sortCandidateSV		command	1	2048	0	1	generateCandidateSV_0000		"/home/eblake/anaconda3/envs/py27_env/bin/python2" "/home/eblake/Documents/manta/SV_finder_manta/manta/libexec/vcfCmdlineSwapper.py" "/home/eblake/Documents/manta/SV_finder_manta/manta/bin/configManta.py --config /home/eblake/Documents/manta/SV_finder_manta/manta/bin/configManta.py.ini --bam /home/eblake/Documents/manta/SV_finder_manta/Data/Data_to_analysis/G15512.HCC1954.1.COST16011_region.bam" < "/home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svHyGen/candidateSV.0000.vcf" > "/home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svHyGen/candidateSV.0000.vcf.reheader.tmp" && mv "/home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svHyGen/candidateSV.0000.vcf.reheader.tmp" "/home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svHyGen/candidateSV.0000.vcf"
sortCandidateSVInputList		workflow	0	0	0	0	fixVcfHeader_sortCandidateSV		listFileWorkflow
sort_sortCandidateSV		command	1	2048	0	0	sortCandidateSVInputList		"/home/eblake/anaconda3/envs/py27_env/bin/python2" "/home/eblake/Documents/manta/SV_finder_manta/manta/libexec/sortVcf.py" -f "/home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svHyGen/list.sortCandidateSV.txt" -a | "/home/eblake/Documents/manta/SV_finder_manta/manta/libexec/bgzip" -c > "/home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/results/variants/candidateSV.vcf.gz"
tabix_sortCandidateSV		command	1	2048	0	1	sort_sortCandidateSV		/home/eblake/Documents/manta/SV_finder_manta/manta/libexec/tabix -f -p vcf /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/results/variants/candidateSV.vcf.gz
fixVcfHeader_sortDiploidSV		command	1	2048	0	1	generateCandidateSV_0000		"/home/eblake/anaconda3/envs/py27_env/bin/python2" "/home/eblake/Documents/manta/SV_finder_manta/manta/libexec/vcfCmdlineSwapper.py" "/home/eblake/Documents/manta/SV_finder_manta/manta/bin/configManta.py --config /home/eblake/Documents/manta/SV_finder_manta/manta/bin/configManta.py.ini --bam /home/eblake/Documents/manta/SV_finder_manta/Data/Data_to_analysis/G15512.HCC1954.1.COST16011_region.bam" < "/home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svHyGen/diploidSV.0000.vcf" > "/home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svHyGen/diploidSV.0000.vcf.reheader.tmp" && mv "/home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svHyGen/diploidSV.0000.vcf.reheader.tmp" "/home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svHyGen/diploidSV.0000.vcf"
sortDiploidSVInputList		workflow	0	0	0	0	fixVcfHeader_sortDiploidSV		listFileWorkflow
sort_sortDiploidSV		command	1	2048	0	0	sortDiploidSVInputList		"/home/eblake/anaconda3/envs/py27_env/bin/python2" "/home/eblake/Documents/manta/SV_finder_manta/manta/libexec/sortVcf.py" -f "/home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svHyGen/list.sortDiploidSV.txt" > "/home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svHyGen/diploidSV.vcf.temp" && "/home/eblake/anaconda3/envs/py27_env/bin/python2" "/home/eblake/Documents/manta/SV_finder_manta/manta/libexec/ploidyFilter.py" "/home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svHyGen/diploidSV.vcf.temp" | "/home/eblake/Documents/manta/SV_finder_manta/manta/libexec/bgzip" -c > "/home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/results/variants/diploidSV.vcf.gz" && rm -f "/home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svHyGen/diploidSV.vcf.temp"
tabix_sortDiploidSV		command	1	2048	0	1	sort_sortDiploidSV		/home/eblake/Documents/manta/SV_finder_manta/manta/libexec/tabix -f -p vcf /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/results/variants/diploidSV.vcf.gz
extractSmallIndels		command	1	2048	0	1	sort_sortCandidateSV		"/home/eblake/Documents/manta/SV_finder_manta/manta/libexec/bgzip" -dc "/home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/results/variants/candidateSV.vcf.gz" | "/home/eblake/anaconda3/envs/py27_env/bin/python2" "/home/eblake/Documents/manta/SV_finder_manta/manta/libexec/extractSmallIndelCandidates.py" --maxSize 49 | "/home/eblake/Documents/manta/SV_finder_manta/manta/libexec/bgzip" -c > "/home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/results/variants/candidateSmallIndels.vcf.gz"
extractSmallIndels_tabix		command	1	2048	0	1	extractSmallIndels		/home/eblake/Documents/manta/SV_finder_manta/manta/libexec/tabix -f -p vcf /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/results/variants/candidateSmallIndels.vcf.gz
sortEdgeRuntimeLogsInputList		workflow	0	0	0	0	generateCandidateSV_0000		listFileWorkflow
sortEdgeRuntimeLogs		command	1	2048	0	1	sortEdgeRuntimeLogsInputList		/home/eblake/anaconda3/envs/py27_env/bin/python2 /home/eblake/Documents/manta/SV_finder_manta/manta/libexec/sortEdgeLogs.py -f /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/svHyGen/list.edgeRuntimeLog.txt -o /home/eblake/Documents/manta/SV_finder_manta/MantaWorkflow/workspace/edgeRuntimeLog.txt
